acc_1,acc_2,acc_3,tacc,av_1,av_2,av_3,tav
6.864,-0.21899,6.3806,25.3,0.66774,0.087058,0.63705,25.376
7.6422,0.99992,6.3793,25.399,0.49095,0.030204,0.75959,25.475
8.061,0.42691,7.1467,25.498,0.79042,0.081672,0.73644,25.573
7.4018,1.079,6.2211,25.598,0.66803,0.05789,0.62159,25.672
7.5707,1.4199,5.8435,25.697,0.61559,0.021158,0.62821,25.77
7.5684,0.51418,5.7585,25.796,0.39306,0.011302,0.61162,25.869
7.446,1.2017,6.3011,25.895,0.95152,0.021081,0.15561,25.967
6.9794,5.4693,7.0982,25.994,-0.32046,0.019426,0.25783,26.066
7.2836,-0.80877,7.5181,26.094,0.22045,-0.0043126,0.097844,26.164
7.3761,0.34907,6.4034,26.193,-0.057138,-0.012139,0.074196,26.263
7.1707,0.52181,6.7126,26.292,-0.045141,-0.04794,0.0091233,26.362
6.8292,1.2442,6.8689,26.391,-0.25431,0.0020633,-0.12428,26.46
6.7806,1.4496,7.1153,26.491,-0.38692,-0.01853,-0.33495,26.559
7.2448,2.0012,6.6206,26.59,-0.4766,-0.0011614,-0.57844,26.657
7.0792,1.3921,6.247,26.689,-0.58217,-0.0007872,-0.6773,26.756
7.5954,0.12484,6.391,26.788,-0.52315,0.032293,-0.65495,26.854
7.685,1.1959,6.248,26.887,-0.76727,-0.052224,-0.8197,26.953
7.7271,0.36464,5.3111,26.987,-0.87938,-0.035486,-0.78919,27.052
8.3402,-1.2631,6.2185,27.086,-0.66382,-0.029797,-0.64983,27.15
8.0245,-1.2987,5.8888,27.185,-0.41455,-0.038014,-0.48107,27.249
7.2313,-1.0242,6.5951,27.284,-0.48609,-0.020219,-0.22205,27.348
7.1381,-0.94424,6.6035,27.383,-0.21962,-0.0028468,-0.15429,27.446
7.3112,-0.45475,6.5112,27.483,0.027931,0.00082422,-0.13283,27.544
7.068,1.0767,6.7833,27.582,-0.18463,0.023935,-0.17158,27.643
7.0222,0.45775,6.6876,27.681,-0.073607,-0.0091018,-0.088344,27.741
7.0304,0.38335,6.9403,27.78,0.047188,0.01919,-0.015955,27.84
6.8013,0.11511,7.2873,27.88,0.060108,0.022812,0.1276,27.939
7.2398,-1.4312,6.6144,27.979,0.27458,0.058753,0.24257,28.037
6.9924,-0.8917,7.5789,28.078,0.59987,0.038058,0.46013,28.136
7.3635,-1.6032,6.4719,28.177,0.54909,0.087164,0.71521,28.235
7.9983,-0.30626,6.1537,28.276,0.68157,0.063689,0.85342,28.334
7.9883,0.42242,6.0558,28.376,0.67312,0.061902,0.77265,28.432
8.1839,1.3322,5.5088,28.475,0.66002,0.03323,0.71002,28.531
7.3135,1.1053,5.9458,28.574,0.13809,-0.016945,0.6379,28.63
7.9877,0.73572,6.226,28.673,0.42137,0.0095657,0.49631,28.729
7.2536,2.8478,6.8047,28.772,0.38788,0.0092392,0.39303,28.828
7.1593,1.5889,6.2636,28.872,-0.099345,-0.0063867,0.19112,28.926
